player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Jaxson Dart,NYG,QB,8,121.3,ffcalc-ppr-12tm-2026-07-25,297.2,17,rushing QB,med,rushing QB; 564 rushing yards projected
Jayden Higgins,HOU,WR,8,121.9,ffcalc-ppr-12tm-2026-07-25,123.1,17,big slot,low,big slot; 47 catches for 581 yards projected
Jordan Mason,MIN,RB,6,123.9,ffcalc-ppr-12tm-2026-07-25,131.3,17,early-down committee back,high,early-down committee back; 189 carries + 12 catches projected
Jacory Croskey-Merritt,WAS,RB,7,124.2,ffcalc-ppr-12tm-2026-07-25,136.5,17,goal-line back,high,goal-line back; 172 carries + 11 catches projected
Jonathon Brooks,CAR,RB,5,126.7,ffcalc-ppr-12tm-2026-07-25,114.5,17,early-down committee back,high,early-down committee back; 109 carries + 27 catches projected
Dallas Goedert,PHI,TE,10,126.8,ffcalc-ppr-12tm-2026-07-25,156.5,17,move TE,low,move TE; 58 catches for 625 yards projected
Tyjae Spears,TEN,RB,9,127.0,ffcalc-ppr-12tm-2026-07-25,115.9,17,handcuff,high,handcuff; 86 carries + 38 catches projected
Brandon Aubrey,DAL,K,14,128.3,ffcalc-ppr-12tm-2026-07-25,173.7,17,,low,"kicker; stream by the offense's implied team total, not by name"
Baker Mayfield,TB,QB,10,129.1,ffcalc-ppr-12tm-2026-07-25,264.6,17,rushing QB,low,rushing QB; 366 rushing yards projected
Philadelphia Eagles,PHI,DST,10,129.4,ffcalc-ppr-12tm-2026-07-25,100.2,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Mark Andrews,BAL,TE,13,129.8,ffcalc-ppr-12tm-2026-07-25,167.5,17,move TE,low,move TE; 61 catches for 645 yards projected
Rashid Shaheed,SEA,WR,11,131.0,ffcalc-ppr-12tm-2026-07-25,143.4,17,big slot,low,big slot; 49 catches for 659 yards projected
Jordan Love,GB,QB,11,131.5,ffcalc-ppr-12tm-2026-07-25,262.7,17,pocket QB,low,pocket QB; 185 rushing yards projected
Jauan Jennings,MIN,WR,6,132.3,ffcalc-ppr-12tm-2026-07-25,101.6,17,big slot,med,big slot; 37 catches for 466 yards projected
Jacksonville Jaguars,JAC,DST,7,132.7,ffcalc-ppr-12tm-2026-07-25,58.0,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets
Omar Cooper Jr.,NYJ,WR,13,132.9,ffcalc-ppr-12tm-2026-07-25,107.6,17,big slot,med,big slot; 37 catches for 466 yards projected
Denzel Boston,CLE,WR,11,132.9,ffcalc-ppr-12tm-2026-07-25,104.6,17,big slot,med,big slot; 40 catches for 526 yards projected
Tre Tucker,LV,WR,13,134.5,ffcalc-ppr-12tm-2026-07-25,135.5,17,big slot,med,big slot; 52 catches for 655 yards projected
Isaiah Likely,NYG,TE,8,136.8,ffcalc-ppr-12tm-2026-07-25,145.6,17,move TE,low,move TE; 56 catches for 656 yards projected
Woody Marks,HOU,RB,8,137.0,ffcalc-ppr-12tm-2026-07-25,119.1,17,early-down committee back,high,early-down committee back; 135 carries + 27 catches projected
Dalton Kincaid,BUF,TE,7,137.3,ffcalc-ppr-12tm-2026-07-25,146.5,17,move TE,low,move TE; 52 catches for 645 yards projected
Jalen Nailor,LV,WR,13,138.3,ffcalc-ppr-12tm-2026-07-25,113.7,17,big slot,low,big slot; 44 catches for 577 yards projected
Detroit Lions,DET,DST,6,139.4,ffcalc-ppr-12tm-2026-07-25,65.6,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets
Cameron Dicker,LAC,K,7,140.0,ffcalc-ppr-12tm-2026-07-25,170.7,17,,low,"kicker; stream by the offense's implied team total, not by name"
Jaydon Blue,DAL,RB,14,140.3,ffcalc-ppr-12tm-2026-07-25,36.6,17,handcuff,high,handcuff; 47 carries + 8 catches projected
Cincinnati Bengals,CIN,DST,6,140.6,ffcalc-ppr-12tm-2026-07-25,45.9,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets
Tyler Shough,NO,QB,8,,,291.7,17,rushing QB,low,rushing QB; 377 rushing yards projected
Kyler Murray,MIN,QB,6,,,282.3,17,rushing QB,low,rushing QB; 494 rushing yards projected
Malik Willis,MIA,QB,6,,,267.7,17,rushing QB,low,rushing QB; 657 rushing yards projected
Sam Darnold,SEA,QB,11,,,261.7,17,pocket QB,low,pocket QB; 125 rushing yards projected
Daniel Jones,IND,QB,13,,,253.3,17,pocket QB,low,pocket QB; 278 rushing yards projected
C.J. Stroud,HOU,QB,8,,,242.2,17,pocket QB,low,pocket QB; 218 rushing yards projected
Bryce Young,CAR,QB,5,,,239.1,17,pocket QB,low,pocket QB; 229 rushing yards projected
Aaron Rodgers,PIT,QB,9,,,230.0,17,pocket QB,low,pocket QB; 80 rushing yards projected
Cam Ward,TEN,QB,9,,,227.2,17,pocket QB,low,pocket QB; 207 rushing yards projected
Jacoby Brissett,ARI,QB,14,,,225.6,17,pocket QB,low,pocket QB; 178 rushing yards projected
Geno Smith,NYJ,QB,13,,,222.5,17,pocket QB,low,pocket QB; 157 rushing yards projected
Fernando Mendoza,LV,QB,13,,,186.9,17,pocket QB,low,pocket QB; 217 rushing yards projected
Ka'imi Fairbairn,HOU,K,8,,,161.9,17,,low,"kicker; stream by the offense's implied team total, not by name"
Jason Myers,SEA,K,11,,,159.2,17,,low,"kicker; stream by the offense's implied team total, not by name"
Wil Lutz,DEN,K,10,,,153.8,17,,low,"kicker; stream by the offense's implied team total, not by name"
Chase McLaughlin,TB,K,10,,,152.4,17,,low,"kicker; stream by the offense's implied team total, not by name"
Eddy Pineiro,SF,K,8,,,150.6,17,,low,"kicker; stream by the offense's implied team total, not by name"
Dalton Schultz,HOU,TE,8,,,149.6,17,move TE,low,move TE; 67 catches for 646 yards projected
Harrison Butker,KC,K,5,,,149.6,17,,low,"kicker; stream by the offense's implied team total, not by name"
Hunter Henry,NE,TE,11,,,147.4,17,move TE,low,move TE; 55 catches for 624 yards projected
