player,pos,csv_team,nfl_team,age,years_exp,draft_year,draft_overall,draft_club,college,g_2023,g_2024,g_2025,games_played_3yr,games_possible_3yr,games_missed_3yr,seasons_unmatched,avail,avail_basis,inj_weeks_out_3yr,inj_weeks_qd_3yr,missed_off_injury_report,inj_parts_3yr,snap_pct_2025,carries_2025,targets_2025,receptions_2025,tgt_share_2025,rush_yards_2025,rec_yards_2025,pass_yards_2025,contract_value,contract_apy,contract_gtd,contract_free_agent,source
Rashod Bateman,WR,BAL,BAL,26.8,5,2021,27,BAL,Minnesota,15,16,13,44,51,7,,0.859,history,3,3,4,Ankle (3); Hamstring (1); Foot (1),69.3,0,38,19,9.3,0,224,0,"$36,750,000","$12,250,000","$20,000,000",2030 UFA,nflverse 2026-07-25
Ray Davis,RB,BUF,BUF,26.8,2,2024,128,BUF,Kentucky; Vanderbilt; Temple,,17,17,34,34,0,,0.941,history,0,1,0,Calf (1),16.3,58,13,10,2.7,275,86,0,"$4,733,188","$1,183,297","$713,188",2028 UFA,nflverse 2026-07-25
Rhamondre Stevenson,RB,NE,NE,28.5,5,2021,120,NE,Oklahoma; Cerritos College,12,15,14,41,51,10,,0.809,history,6,5,4,Toe (4); Ankle (3); Foot (2),61.8,130,37,32,7.7,603,345,0,"$36,000,000","$9,000,000","$17,116,000",2029 UFA,nflverse 2026-07-25
Ricky Pearsall,WR,SF,SF,26.0,2,2024,31,SF,Florida; Arizona State,,11,9,20,34,14,,0.675,history,7,4,7,Knee (10); Chest (1),77.3,2,53,36,9.6,-2,528,0,"$12,538,398","$3,134,600","$12,538,398",2028 UFA,nflverse 2026-07-25
Rico Dowdle,RB,PIT,PIT,28.2,6,2020,,,South Carolina,16,16,17,49,51,2,,0.926,history,1,3,1,Ankle (4),54.9,236,50,39,10.4,1076,297,0,"$12,250,000","$6,125,000","$5,000,000",2028 UFA,nflverse 2026-07-25
Rome Odunze,WR,CHI,CHI,24.3,2,2024,9,CHI,Washington,,17,12,29,34,5,,0.851,history,3,3,2,Foot (5); Knee (1),85.9,0,90,44,16.9,0,661,0,"$22,724,500","$5,681,125","$22,724,500",2028 UFA,nflverse 2026-07-25
Romeo Doubs,WR,NE,NE,26.4,4,2022,132,GB,Nevada,17,13,16,46,51,5,,0.889,history,2,3,3,Concussion (2); Hamstring (1); Not injury related - personal matter (1),77.3,0,85,55,18.5,0,724,0,"$68,000,000","$17,000,000","$39,000,000",2030 UFA,nflverse 2026-07-25
Sam Darnold,QB,SEA,SEA,29.3,8,2018,3,NYJ,USC,10,17,17,44,51,7,,0.848,history,0,0,7,,96.2,35,0,0,,95,0,4048,"$100,500,000","$33,500,000","$55,000,000",2028 Void,nflverse 2026-07-25
Sam LaPorta,TE,DET,DET,25.7,3,2023,34,DET,Iowa,17,16,9,42,51,9,,0.827,history,2,1,7,Calf (1); Shoulder (1); Back (1),90.7,0,49,40,8.9,0,489,0,"$9,465,998","$2,366,500","$7,825,179",2027 UFA,nflverse 2026-07-25
Samaje Perine,RB,CIN,CIN,31.0,9,2017,114,WAS,Oklahoma,17,17,15,49,51,2,,0.926,history,1,2,1,Ankle (2); Knee (1),35.1,84,21,17,3.5,382,87,0,"$3,600,000","$1,800,000","$400,000",2027 UFA,nflverse 2026-07-25
Saquon Barkley,RB,PHI,PHI,29.6,8,2018,2,NYG,Penn State,14,16,16,46,51,5,,0.882,history,1,4,4,Ankle (4); Not injury related - coach's decision (1),78.7,280,50,37,10.8,1140,273,0,"$41,200,000","$20,600,000","$36,000,000",2029 Void,nflverse 2026-07-25
Sean Tucker,RB,TB,TB,24.9,3,2023,,,Syracuse,3,17,17,37,51,14,,0.75,history,0,0,14,,15.8,86,11,8,2.0,320,34,0,"$3,520,000","$3,520,000",$0,2027 UFA,nflverse 2026-07-25
T.J. Hockenson,TE,MIN,MIN,29.2,7,2019,8,DET,Iowa,15,10,15,40,51,11,,0.798,history,3,3,8,Knee (3); Shoulder (2); Ribs (1),77.9,1,66,51,14.1,0,438,0,"$10,250,000","$10,250,000","$10,150,000",2027 Void,nflverse 2026-07-25
Tank Bigsby,RB,PHI,PHI,25.0,3,2023,88,JAX,Auburn,13,16,15,44,51,7,,0.853,history,1,2,6,Ankle (2); Shoulder (1),12.6,63,4,3,0.7,356,32,0,"$5,392,918","$1,348,230","$922,120",2027 UFA,nflverse 2026-07-25
Tee Higgins,WR,CIN,CIN,27.6,6,2020,33,CIN,Clemson,12,12,15,39,51,12,,0.786,history,5,11,7,Hamstring (6); Quadricep (3); Concussion (3),80.9,0,98,59,16.1,0,846,0,"$115,000,000","$28,750,000","$40,900,000",2029 UFA,nflverse 2026-07-25
Terrance Ferguson,TE,LAR,LA,23.5,1,2025,46,LAR,Oregon,,,11,11,17,6,,0.742,history,0,1,6,Hamstring (1),37.6,1,25,11,4.3,0,231,0,"$9,713,466","$2,428,367","$8,046,753",2029 UFA,nflverse 2026-07-25
Terry McLaurin,WR,WAS,WAS,31.0,7,2019,76,WAS,Ohio State,17,17,10,44,51,7,,0.859,history,7,0,0,Quadricep (7),70.4,0,60,38,13.9,0,582,0,"$87,000,000","$29,000,000","$50,000,000",2029 Void,nflverse 2026-07-25
Tetairoa McMillan,WR,CAR,CAR,23.4,1,2025,8,CAR,Arizona,,,17,17,17,0,,0.924,history,0,3,0,Calf (1); Hamstring (1); Illness (1),87.3,0,122,70,25.4,0,1014,0,"$27,930,390","$6,982,598","$27,930,390",2029 UFA,nflverse 2026-07-25
Tony Pollard,RB,TEN,TEN,29.4,7,2019,128,DAL,Memphis,17,16,17,50,51,1,,0.941,history,0,5,1,Ankle (4); Foot (1),62.5,242,41,33,7.7,1082,206,0,"$21,750,000","$7,250,000","$10,490,000",2027 UFA,nflverse 2026-07-25
Travis Etienne,RB,NO,NO,27.6,5,2021,25,JAX,Clemson,17,15,17,49,51,2,,0.926,history,0,5,2,Hamstring (3); Ribs (2),59.8,260,52,36,9.5,1107,292,0,"$48,000,000","$12,000,000","$28,000,000",2030 UFA,nflverse 2026-07-25
Travis Hunter,WR,JAC,JAX,23.3,1,2025,2,JAX,Colorado; Jackson State University,,,7,7,17,10,,0.63,history,1,0,9,Knee (1),66.3,1,45,28,8.2,0,298,0,"$46,649,112","$11,662,278","$46,649,112",2029 UFA,nflverse 2026-07-25
Travis Kelce,TE,KC,KC,36.9,13,2013,63,KC,Cincinnati,15,16,17,48,51,3,,0.915,history,0,4,3,Knee (2); Ankle (1); Coaching Decision (1),81.9,1,108,76,19.7,1,851,0,"$12,000,000","$12,000,000","$12,000,000",2027 Void,nflverse 2026-07-25
Tre Tucker,WR,LV,LV,25.5,3,2023,100,LV,Cincinnati,13,17,17,47,51,4,,0.903,history,0,0,4,,94.8,11,92,57,18.6,51,696,0,"$5,304,082","$1,326,021","$857,512",2027 UFA,nflverse 2026-07-25
TreVeyon Henderson,RB,NE,NE,23.9,1,2025,38,NE,Ohio State,,,17,17,17,0,,0.912,history,0,0,0,,43.0,180,42,35,8.7,911,221,0,"$11,143,260","$2,785,815","$11,143,260",2029 UFA,nflverse 2026-07-25
Trevor Lawrence,QB,JAC,JAX,26.9,5,2021,1,JAX,Clemson,16,10,17,43,51,8,,0.834,history,2,7,6,Left Shoulder (3); Knee (2); Ankle (2),96.9,82,0,0,,359,0,4007,"$275,000,000","$55,000,000","$200,000,000",2031 Void,nflverse 2026-07-25
