franchise,name,role,alloc_mpg,a,expected_team_game_minutes,expected_gp,gp_lo,gp_hi,high_uncertainty,pid,key
DET,Paul Reed,rotation,18.4,0.7193902794208957,13.23678114134448,64.0,51.0,75.0,True,1630194.0,1630194
DET,Taurean Prince,deep,25.8,0.35,9.03,59.0,44.0,73.0,True,1627752.0,1627752
DET,Elijah Harkless,deep,24.5,0.23672883787661408,5.799856527977045,36.0,19.0,54.0,True,1641989.0,1641989
DET,Javonte Green,deep,20.6,0.22400000000000003,4.614400000000001,49.0,33.0,66.0,True,1629750.0,1629750
DET,Gary Harris,deep,16.5,0.17920000000000003,2.9568000000000003,28.0,13.0,43.0,True,203914.0,203914
DET,Ugonna Onyenso,deep,13.8,0.14336000000000002,1.9783680000000003,22.0,10.0,36.0,True,,name::DET::ugonna onyenso
DET,Tolu Smith,deep,13.1,0.11262553802008608,1.4753945480631276,17.0,7.0,29.0,False,1642449.0,1642449
DET,Chaz Lanier,deep,12.0,0.09175040000000002,1.1010048000000003,16.0,7.0,28.0,False,1642404.0,1642404
DET,Isaac Jones,deep,9.7,0.08,0.7759999999999999,15.0,6.0,27.0,False,1642403.0,1642403
GSW,Brandin Podziemski,starter,37.0,0.9080075732264171,33.59628020937743,70.0,60.0,78.0,True,1641764.0,1641764
GSW,Moses Moody,rotation,35.2,0.7851841867558629,27.638483373806377,63.0,51.0,74.0,True,1630541.0,1630541
GSW,Stephen Curry,starter,35.0,0.7129249830896687,24.952374408138404,59.0,47.0,72.0,True,201939.0,201939
GSW,Will Richard,rotation,28.4,0.8292682926829268,23.551219512195118,66.0,54.0,76.0,True,1642954.0,1642954
GSW,Jimmy Butler,starter,35.3,0.6497391328035746,22.935791387966184,53.0,40.0,66.0,True,202710.0,202710
GSW,Yaxel Lendeborg,rotation,27.2,0.72,19.584,62.0,50.0,74.0,True,,name::GSW::yaxel lendeborg
GSW,Gui Santos,starter,29.0,0.6597059806214501,19.131473438022056,68.0,58.0,76.0,True,1630611.0,1630611
GSW,Kristaps Porziņģis,rotation,31.5,0.5652310834003277,17.804779127110322,50.0,34.0,66.0,True,204001.0,204001
GSW,De'Anthony Melton,rotation,31.6,0.5371802774154473,16.974896766328136,55.0,39.0,69.0,True,1629001.0,1629001
GSW,Al Horford,starter,24.0,0.6970134318706842,16.72832236489642,55.0,42.0,68.0,True,201143.0,201143
GSW,Charles Bassey,deep,18.9,0.27999999999999997,5.291999999999999,48.0,31.0,64.0,True,1629646.0,1629646
GSW,LJ Cryer,deep,24.1,0.21951219512195122,5.290243902439025,36.0,19.0,53.0,True,1643018.0,1643018
GSW,Malevy Leons,deep,17.6,0.20946915351506457,3.6866571018651366,34.0,17.0,52.0,True,1642502.0,1642502
GSW,Lajae Jones,deep,16.0,0.17920000000000003,2.8672000000000004,27.0,13.0,42.0,True,,name::GSW::lajae jones
HOU,Amen Thompson,starter,38.5,0.8780487804878049,33.80487804878049,69.0,60.0,77.0,True,1641708.0,1641708
HOU,Alperen Şengün,starter,38.1,0.8751515210150479,33.343272950673324,68.0,57.0,77.0,True,1630578.0,1630578
HOU,Kevin Durant,starter,35.4,0.8103330713054991,28.68579072421467,67.0,56.0,76.0,True,201142.0,201142
